"id","text"
36516,"Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts."
36396,"Mrs. Weasley cried as a few students ran forward, trying to come to her aid."
36390,"Seamus Finnigan and Hannah Abbott, darted past him into the Great Hall, where they joined the fight already flourishing inside it.And now there were more, even more people storming up the front steps, and Harry saw Charlie Weasley overtaking Horace Slughorn, who was still wearing his emerald pajamas."
36341,"Hagrid's unexpected bellow nearly forced Harry's eyes open."
36309,"Harry did not dare open his eyes, but allowed his other senses to explore his predicament."
36244,"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it."
36093,"Convinced as he was of his total solitude, this did not concern him, but it did intrigue him slightly."
36084,"Hagrid was struggling, and Bellatrix was panting, and Harry thought inexplicably of Ginny, and her blazing look, and the feel of her lips on his ¨C Voldemort had raised his wand."
36079,"He knew that the snake was too well protected, knew that if he managed to point the wand at Nagini, fifty curses would hit him first."
36061,"Some of them were still masked and hooded; others showed their faces."
36026,"It did not matter about bringing them back, for he was about to join them."
35955,"That would have been why Dumbledore wanted him to confide in two others... so that if he fulfilled his true destiny a little early, they could carry on..."
35914,"Then he ripped in two the photograph he was also holding, so that he kept the part from which Lily laughed, throwing the portion showing James and Harry back onto the floor, under the chest of drawers..."
35794,"I ¨C I come with a warning ¨C no, a request ¨C please ¨C ""Dumbledore flicked his wand."
35786,"But you call everyone of my birth Mudblood, Severus."
35770,"But Mulciber's and Avery's idea of humor is just evil."
35729,"Lily gave herself away by half-glancing toward where Snape stood nearby."
35725,"It's good you're being separated from normal people."
35702,"He picked up a fistful of leaves and began tearing them apart, apparently unaware of what he was doing."
35601,"Harry lifted the silvery substance into it with his wand."
35575,"The stab of rage felt like a spike driven through Harry's head: he forced his own fist into his mouth to stop himself from crying out in pain."
35536,"It jabbed at a place near the roots, and at once, the writhing tree became still."
35524,"Shapes moved out in the darkness, swirling figures of concentrated blackness, moving in a great wave towards the castles, their faces hooded and their breath rattling..."
35517,"He thought he could make out an enormous arm waving from the midst of the spider swarm, but as he made to chase after them, his way was impeded by a monumental foot, which swung down out of the darkness and made the ground on which he stood shudder."
35501,"The stairs beneath their feet flattened into a chute and she, Harry, and Ron hurtled down it, unable to control their speed but so fast that the Death Eaters' Stunning Spells flew far over their heads."
35469,"Pushing Hermione ahead of him with Ron, Harry stooped to seize Fred's body under the armpit."
35457,"I don't think I've heard you joke since you were ¨C ""The air exploded."
35442,"Then, through the smoke, Harry saw a rectangular patch on the wall and steered the broom at it, and moments later clean air filled his lungs and they collided with the wall in the corridor beyond.Malfoy fell off the broom and lay facedown, gasping, coughing, and retching."
35347,"What hiding place had Tom Riddle discovered inside Hogwarts Castle, that he believed would remain secret forever?"
35339,"So, Voldemort had managed to wheedle the location of the lost diadem out of the Gray Lady."
35303,"He leapt up from the plinth and tore back the way he had come, now in pursuit of his one last hope."
35159,"We'll say Alecto was ambushed by the kids, them kids up there"" ¨C he looked up at the starry ceiling toward the dormitories ¨C "" and we'll say they forced her to pres her Mark, and that's why he got a false alarm...."
35148,"The Ravenclaws were whispering amongst themselves, terrified."
35142,"He had chosen to make sure of the locker before coming...but that would not take him long...."
35140,"Harry closed his eyes, and as his scar throbbed he chose to sink again into Voldemort's mind...."
35131,"Which makes you pretty skint, witless,"" said a cackling voice.Harry whirled around, slipped off the plinth, and landed on the floor."
35075,"Harry looked from Ron to Hermione, who murmured, ""I think Ron's right."
35046,"He looked at Ron and Hermione, trying to tell them without words that Voldemort had just discovered the loss of one of the other Horcruxes."
35013,"But we were still fighting, doing underground stuff, right up until a couple of weeks ago."
34943,"You can't move her, she's in no fit state, you can't take her with you, wherever it is you're planning to go, when you're making your clever speeches, trying to whip yourselves up a following."
34868,"Harry drew the curtains then pulled the Cloak off himself and Ron."
34853,"They ran behind the counter and through a second doorway, which led to a trickery wooden staircase, that they climbed as fast as they could."
34852,"Harry was sure of it: They seemed to be coming more quickly now, taking those dragging, rattling breaths he detested, tasting despair in the air, closing in - He raised his wand: He could not, would not suffer the Dementor's Kiss, whatever happened afterward."
34832,"We'll go to Hogsmeade,"" said Harry, ""and try to work something out once we see what the protection around the school's like."
34818,"Nevertheless, it would be prudent to alert Snape to the fact that the boy might try to reenter the castle...."
34797,"He, the greatest wizard of them all; he, the most powerful; he, the killer of Dumbledore and of how many other worthless, nameless men."
34791,"The Elder Wand slashed through the air and green light erupted through the room; the kneeling goblin rolled over dead; the watching wizards scattered before him, terrified."
34709,"He was trying to listen: He thought he could hear something clanking and moving around nearby."
34685,"Oh yes, I see,"" said Travers, looking down at Bellatrix's wand, ""yes, very handsome. and is it working well?"
34660,"I heard that your own was¨C""""I have my wand here,"" said Hermione coldly, holding up Bellatrix's wand."
34653,"It's Travers,"" hissed the goblin into Harry's ear, but at that moment Harry could not think who Travers was."
34601,"Harry reached instinctively for the hilt of the sword and drew it close to him, but regretted his action at once."
34557,"Fleur came running out of the kitchen, looking frightened; Bill jumped to his feed, his wand pointing at the door; Harry, Ron, and Hermione did the same."
34516,"Back in the smallest bedroom, Harry made the offer, careful to phrase it so as not to give any definite time for the handover of the sword."
34512,"Harry met her eyes with a mixture of defiance and shame."
34429,"Harry caught glimpses of Bill, Fleur, Luna, and Dean sitting at the table in the kitchen, cups of tea in front of them."
34411,"Harry was suddenly reminded of how unsure, when they first met, of how much he liked Ollivander."
34354,"He probably told her it was a treasured possession and asked her to place it in her vault."
34315,"He wanted to get through this interview with Griphook quickly, and at the same time was afraid of making a false move."
34275,"He looked out over the ocean and felt closer, this dawn, than ever before, closer to the heart of it all.And still his scar prickled, and he knew that Voldemort was getting there too."
34272,"Dobby would never be able to tell them who had sent him to the cellar, but Harry knew what he had seen."
34241,"And as everybody looked at her, she addressed the dead elf at the bottom of the grave."
34221,"Horcruxes...yet no longer burned with that weird, obsessive longing."
34215,"Grief, it seemed, drove Voldemort out...though Dumbledore, of course, would have said that it was love.On Harry dug, deeper and deeper into the hard, cold earth, subsuming his grief in sweat, denying the pain in his scar."
34186,"At the last word there was a peculiar grinding noise from above."
34147,"Of course, Harry Potter,"" whispered the little elf."
34139,"He seized the little goblin by the arm and backed out again, dragging Griphook with him."
34109,"They were forced down a steep flight of stairs, still tied back-to-back and in danger of slipping and breaking their necks at any moment."
34058,"Closing his puffy eyes, he allowed the pain in his scar to overcome him for a moment, wanting to know what Voldemort was doing, whether he knew yet that Harry was caught...."
33950,"I'd say that it's one short step from 'Wizards first' to 'Purebloods first,' and then to 'Death Eaters,'"" replied Kingsley."
33871,"Harry watched the cloudy sky, curves of smoke-gray and silver sliding over the face of the white moon."
33867,"If he had known about the Deathly Hallows, he might not have needed Horcruxes in the first place."
33815,"Her fingers sketched quotation marks around the name, and her tone dripped sarcasm."
33806,"The Deathly Hallows...such rubbish...although actually,"" a sudden thought seemed to have struck her, ""he might have made it all up, mightn't he?"
33700,"Just keep your head down, mind your own business, and you'll be okay."
33656,"That very night, another wizard crept upon the oldest brother as he lay, wine-sodden upon his bed."
33625,"He suppose he ought to be glad of it; anyone he came into contact with was in danger, Xenophilius's attitude proved that. he turned away from the windows and his gaze fell upon another peculiar object standing upon the cluttered, curved slide board; a stone but of a beautiful but austere-looking witch wearing a most bizarre-looking headdress."
33602,"You'd better come up."" said Xenophilius, still looking extremely uncomfortable, and he led the way.The room above seemed to be a combination of living room and workplace, and as such, was even more cluttered than the kitchen."
33560,"Catchopole from the breezy hillside to which they Disapparated next morning."
33548,"He looked into her intense, eager face and then out into the surrounding darkness, thinking."
33480,"So I Disapparated and came out on the side of a hill."
33464,"Gosh, what a gripping story,"" Hermione said in the lofty voice she adopted when wishing to wound."
33397,"Now was not the time for long discussions; now was the moment to destroy once and for all."
33309,"His impulse to shout for Hermione, which had been so strong a moment ago, had gone."
33303,"The light seemed simply to drift toward him.He jumped to his feet, his voice frozen in his throat, and raised Hermione's wand."
33261,"I know Bathilda thought it was all just talk, but 'For the Greater Good' became Grindelwald's slogan, his justification for all the atrocities he committed later."
33219,"We must stress this point, it will be the foundation stone upon which we build."
33206,"At the time of Kendra's death, Bathilda was the only person in Godric's Hollow who was on speaking terms with Dumbledore's mother.Unfortunately, the brilliance that Bathilda exhibited earlier in her life has now dimmed."
33187,"He riffled through the pages, looking for photographs."
33033,"He wondered when was the last time anyone had been inside Bathilda's house to check whether she was coping."
33018,"Was it not likely that it was she who had moved in the shadows in the graveyard and had followed them to this spot?"
32968,"He put his arm around Hermione's shoulders, and she put hers around his waist, and they turned in silence and walked away through the snow, past Dumbledore's mother and sister, back toward the dark church and the out-of-sight kissing gate."
32946,"But it seemed that to Dumbledore, the fact that their families lay side by side in the same graveyard had been an unimportant coincidence, irrelevant, perhaps, to the job he wanted Harry to do.Hermione was looking at Harry, and he was glad that his face was hidden in shadow."
32916,"He stowed the Cloak under his jacket and they made their way forward unhampered, the icy air stinging their faces as they passed more cottages."
32902,"It was in Godric's Hollow that, but for Voldemort, he would have grown up and spent every school holiday."
32838,"Despite his previous assertion that he would never visit them again, Phineas Nigellus did not seem able to resist the chance to find out more about what Harry was up to and consented to reappear, blindfolded, every few days of so."
32829,"There were moments when he did not know whether he was angrier with Ron or with Dumbledore."
32654,"It was his first real home, the place that meant he was special: it meant everything to him, and even after he left ¨C """"This is You-Know-Who we're talking about, right?"
32640,"The argument about the dementors was forgotten in laughter that night, and Harry felt cheerful, even hopeful, as he took the first of the three night watches.This was their first encounter with the fact that a full stomach meant good spirits, an empty one, bickering and gloom."
32449,"The chains clinked and withdrew into the arms of the chair."
32431,"She cried harder than ever.Umbridge laughed a soft girlish laugh that made Harry want to attack her."
32380,"It was very strange to have Mr. Weasley glare at him with that much dislike."
32225,"In the meantime, they returned to the basement kitchen, where Kreacher served them all stew and treacle tart.They did not get to bed until late that night, after spending hours going over and over their plan until they could recite it, word perfect, to each other."
32222,"They glared at each other; Harry knew that he had not convinced Hermione and that she was marshaling counterarguments, against both his theory on his wand and the fact that he was permitting himself to see into Voldemort's mind."
32173,"Dad always told us most Ministry people use the Floo Network to get to work,"" Ron said."
32139,"The lurkers were never the same two days running, although they all seemed to share a dislike for normal clothing."
32113,"His immediate thought was that Lupin had burst back into the room, and for a split second, he did not take in the mass of struggling limbs that had appeared out of thin air right beside his chair."
31993,"Halfway down the flight of stairs into the hall, however, he heard a tap on the front door, then metallic clicks and the grinding of the chain.Every nerve in his body seemed to tauten: He pulled out his wand, moved into the shadows beside the decapitated elf heads, and waited."
31927,"He saw what had happened as clearly as though he had been present.""..."
31893,"It was the only chance, the only slender hope left to them, and he was going to cling to it until forced to let go."
31871,"A little puff of dust rose from the bedcovers as she sat down to read the clippings."
31868,"The Black family crest was painstakingly painted over the bed, along with its motto, TOUJOURS PUR."
31867,"The Slytherin colors of emerald and silver were everywhere, draping the bed, the walls, and the windows."
31865,"Regulus's bedroom was slightly smaller than Sirius's, though it had the same sense of former grandeur."
31763,"The one facing him bore a nameplate reading Sirius."
31689,"Tall, dilapidated houses looked down on them from every side."
31669,"He looked down at the paralyzed Dolohov, thinking fast as the lock clicked and Ron used the Deluminator to plunge the caf¨¦ into darkness."
31645,"Let's sit down somewhere,"" Hermione said hastily as Ron opened his mouth to shout back across the road."
31624,"Harry and Hermione jumped to their feet and drew their wands."
31609,"Never once, in six years, had Dumbledore told Harry that they had both lived and lost loved ones in Godric's Hollow."
31590,"Albus was heartbroken-""""His heart wasn't the only thing."
31575,"You would say that, Elphias,"" cackled Auntie Muriel."
31530,"The strange triangular eye was gleaming on his chest."
31528,"His pugnacious tone indicated that they were not about to laugh at Xenophilius, despite the clear provocation."
31522,"We'll have time later,"" shrugged Ron, snatching three butterbeers from a passing tray and handing one to Harry."
31480,"As she drifted off after her father, Ron reappeared with an elderly witch clutching his arm."
31442,"All the old kids' stories are supposed to be Beedle's aren't they?"
31396,"Not quite,"" said Scrimgeour, who looked bad tempered now."
31382,"I'm asking the questions,"" said Scrimgeour, shifting his chair a little closer to the sofa."
31333,"I require a private word with you,"" Scrimgeour went on."
31187,"His parents' graves were only part of the attraction: He had a strong, though inexplicable, feeling that the place held answers for him."
31177,"Spattergroit's really contagious, so they're not going to want to go near him."
31161,"I ¨C Hermione, I'm sorry ¨C I didn't ¨C """"Didn't realize that Ron and I know perfectly well what might happen if we come with you?"
31101,"Dumbledore didn't want anyone else to know, Mrs. Weasley."
31034,"He chased Mad-Eye first, and when Mundungus gave them away he switched to Kingsley...."
31029,"They didn't know there would be seven Harrys, that confused them the moment we appeared, and in case you've forgotten, it was Mundungus who suggested that little bit of skullduggery."
30999,"Always the tone of surprise,"" he said a little grumpily, breaking free."
30956,"Expelliarmus saved me from Voldemort two years ago,"" Harry added defiantly."
30949,"None of the Order would have told Voldemort we were moving tonight,"" said Harry."
30924,"The Portkey,"" he said, remembering all of a sudden."
30867,"There was a deafening bang and the sidecar broke away from the bike completely."
30783,"There was a general cry of greeting as Hermione flung her arms around him, Ron clapped him on the back, and Hagrid said, ""All righ', Harry?"
30771,"Dudley sobbed on it after I saved him from the dementors ..."
30706,"Finally Uncle Vernon blurted out, ""But what about my work?"
30666,"Sixteen years of being addressed thus left Harry in no doubt when his uncle was calling, nevertheless, he did not immediately respond."
30655,"Revulsion and fury rose in him like vomit; he balled up the newspaper and threw it, with all his force, at the wall, where it joined the rest of the rubbish heaped around his overflowing bin.He began to stride blindly around the room, opening empty drawers and picking up books only to replace them on the same piles, barely conscious of what he was doing, as random phrases from Rita's article echoed in his head: An entire chapter to the whole Potter-Dumbledore relationship..."
30590,"On the very eve of our trip, Albus's mother, Kendra, died, leaving Albus the head, and sole breadwinner, of the family."
30585,"They rubbed along as comfortably as two such different boys could do."
30582,"Though it was often predicted in later years that he was on the point of taking the job, however, he never had Ministerial ambitions.Three years after we had started at Hogwarts, Albus's brother, Aberforth, arrived at school."
30454,"The room's usual furniture had been pushed carelessly up against the walls."
30440,"The two men appeared out of nowhere, a few yards apart in the narrow, moonlit lane."
30409,"We had our disagree-ments, as you know, but no one knows better than 1 -' ?"
30329,"Then there was Madame Maxime, who took up two-and-a-half chairs on her own, Tom, the landlord of the Leaky Cauldron, Arabella Figg, Harry's Squib neighbour, the hairy bass player from the wizardmg group the Weird bisters, hrnie Frang, dnver ol the Knight Bus, Madam Malkin, of the robe shop in Diagon Alley, and some people whom Harry merely knew by sight, such as the barman of the Hog's Head and the witch who pushed the trolley on the Hogwarts Express."
30291,"Tobias Snape was a Muggie from what it said in the Prophet' 'Yeah, that fits,' said Harry."
30197,"There will probably be some contamination, Arthur,"" .said Lupin."
30168,"Anyway,"" Ginny went on, ""he must have been checking whether the coast was clear to let the Death Eaters out, because the moment he saw us he threw something into the air and it all went pitch-black -""""- Peruvian Instant Darkness Powder,"" said Ron bitterly."
30114,"He obeyed its pressure without really thinking about it."
30037,"Harry scrambled up from the floor and began to sprint along the corridor, ignoring the bangs issuing from behind him, the yells of the others to come back, and the mute call of the figures on the ground whose fate he did not yet know. . . ."
29966,"Hogsmeade, someone who was able to slip Katie the - the - aaaah Dumbledore closed his eyes again and nodded, as though he was about to fall asleep."
29883,"The moment that Dum-bledore reached the bank he let his wand hand fall; the ring of fire vanished, but the Inferi did not emerge again from the water."
29876,"Wordlessly, he gestured to Harry to come to his side."
29858,"Once more, for a second, clear wa-ter gleamed within it, but as he approached Dumbledores mouth, the water vanished again."
29856,"The goblet filled with clear water; Harry dropped to his knees beside Dumbledore, raised his head, and brought the glass to his lips  -  but it was empty."
29843,"Harry reached forward and grasped the crystal cup, holding it steady."
29836,"Dumbledore plunged the glass blindly back into the basin, refilled it, and drank once more."
29814,"He met an invisible barrier that prevented him coming within an inch of it."
29751,"A misty greenish light shone far away in what looked like the mid-dle of the lake; it was reflected in the completely still water below."
29728,"A little way in, the passageway curved to the left, and Harry saw that it extended far into the cliff."
